,score,num_comments,category
0,134.03503503503504,43.726726726726724,city
1,68.842,24.476999999999997,city
2,293.638,56.906000000000006,city
3,23.516,17.392,city
4,391.324,67.40899999999999,city
5,52.931000000000004,27.991,city
6,86.428,31.963,city
7,115.72972972972971,37.42042042042042,city
8,54.994,16.805,city
9,131.684,43.913000000000004,city
10,25.014,14.805,city
11,241.36700000000002,64.01,city
12,36.446999999999996,19.657,city
13,35.027,16.315,city
14,25.105,13.206,city
15,53.47,19.23,city
16,331.719,83.72399999999999,city
17,35.815,24.694000000000003,city
18,143.718,39.605,city
19,39.003,17.518,city
20,209.31599999999997,60.306000000000004,city
21,155.69,39.894,city
22,357.27,73.738,city
0,24.513,13.354000000000001,state
1,55.868,19.632,state
2,55.391000000000005,14.798,state
3,39.096,22.697,state
4,30.284000000000002,9.919,state
5,19.346,10.415999999999999,state
6,25.43143143143143,9.107107107107105,state
7,22.872745490981966,12.723446893787575,state
8,99.43700000000001,21.506999999999998,state
9,81.232,16.163,state
10,102.54799999999999,35.601,state
11,25.921999999999997,14.525,state
12,27.904904904904903,10.522522522522523,state
13,51.99,18.45,state
14,31.963963963963966,11.076076076076076,state
15,106.915,32.371,state
16,18.496,7.586,state
17,134.78578578578578,41.05805805805806,state
18,71.57157157157155,24.917917917917922,state
